"","Instrument","Comp.1","Comp.2","Comp.3","price","dividend","eps","PE.Comp.1","Div.Yield.Comp.1","PE.Comp.2","Div.Yield.Comp.2","PE.Comp.3","Div.Yield.Comp.3"
"24","SBRY",-0.0331227811907871,-0.0111730414003983,-0.0117987450749619,273.2,0.102,0.204,-44.3585481437404,-1.2366484924818e-05,-14.9631123068079,-4.17148690644444e-06,-15.8010644827431,-4.40509515975882e-06
"25","ITV",-0.115186613710405,0.158506692707121,-0.0106682235301905,192,0.122,0.17,-130.093116661163,-7.31914941284862e-05,179.019323528043,0.000100717794324317,-12.0488171635093,-6.77876703480855e-06
"26","RSA",-0.0282168902443384,-0.00858532681145218,-0.00241595964350866,611,0.16,0.395,-43.646885922255,-7.3890383618562e-06,-13.2800878020184,-2.24820342034754e-06,-3.73709200552859,-6.32657189789502e-07
"27","SGE",-0.0640933604455211,0.0066287780635976,0.0523192052052857,695,0.1415,0.2784,-160.003180709904,-1.30492237453831e-05,16.548134892961,1.34960013812814e-06,130.610084833597,1.06520396209323e-05
"28","CCL",-0.10095514368006,0.0422689523994409,0.0854147521508485,4723,1.09285,2.79284,-170.726265593777,-2.33599044613072e-05,71.4814533530598,9.78056841620348e-06,144.445752140637,1.97640296184745e-05
"29","GLEN",-0.0837052320456575,-0.169331051250527,-0.223631371027846,291,0.03237,-0.04047,601.883432796796,-9.3111283894087e-06,1217.57686962944,-1.88358973504453e-05,1608.02394289852,-2.48761081792831e-05
"30","TUI",-0.0916921401544003,0.0710961197489011,0.0213041070110297,1128,0.52813,0.50714,-203.945131707543,-4.29302925352336e-05,158.134682881967,3.32872284778255e-05,47.3854018780642,9.97459045721198e-06
"31","UU.",-0.0966878511118705,-0.0580815212622881,0.168773995111846,1015,0.3895,0.44948,-218.337120402573,-3.7103367495639e-05,-131.157657918533,-2.22884261395677e-05,381.119527094695,6.47659813754325e-05
"32","RIO",-0.0772742168268528,-0.192959838459256,-0.235369857766332,3064.014,1.37579,2.29676,-103.088386334015,-3.46973266989693e-05,-257.419863841628,-8.66419723127438e-05,-313.997343812174,-0.000105684731406691
"33","BAB",-0.106004591629676,0.0159465643360095,-0.0545974781813286,922.5,0.27861,0.799,-122.389531637517,-3.20151103240586e-05,18.4113962452675,4.81612172320391e-06,-63.0365126686804,-1.64893261746341e-05
"34","HMSO",-0.131947184621449,0.100196159906565,0.00899348995931034,580,0.24,0.292,-262.086873563152,-5.4598835015772e-05,199.019769677423,4.14604799613371e-05,17.8637814260274,3.72144412109393e-06
"35","RBS",-0.10346335734957,0.0962460236565968,-0.176317608613985,0,0,0,0,0,0,0,0,0
"36","NG.",-0.0850723013200745,-0.0936581875430368,0.179476949378134,1049.5,0.44207,0.7087,-125.981910872609,-3.58341231487045e-05,-138.696582230023,-3.94506669529779e-05,265.783911912448,7.55992139224314e-05
"37","EZJ",-0.0861919596445584,0.162844746118521,-0.0215026439954789,1230,0.538,1.076,-98.5279836085565,-3.7700222999002e-05,186.151522049983,7.12280271640362e-05,-24.5801599576571,-9.40522151997368e-06
"38","MDC",-0.0279853610125399,-0.08064127905985,0.0886742792395669,871,0.07919,0.31585,-77.1734983122441,-2.54438661146158e-06,-222.379465129426,-7.33178288030944e-06,244.531572637843,8.06213108264213e-06
"39","RR.",-0.0742664748285841,-0.0906866166856258,-0.0483012112431792,850.5,0.117,0.3013,-209.637029013312,-1.02165520928211e-05,-255.987280090026,-1.24754075863824e-05,-136.343113714981,-6.64461107049026e-06
